Wall time,Step,Value
1527515602.8874745,100,0.40625
1527515848.3292725,200,0.234375
1527516086.5966747,300,0.3125
1527516322.5596797,400,0.46875
1527516561.1886826,500,0.390625
1527516792.671146,600,0.40625
1527517023.0569444,700,0.46875
1527517254.894769,800,0.390625
1527517482.337608,900,0.390625
1527517707.359159,1000,0.5
1527517928.8953319,1100,0.4375
1527518150.5081944,1200,0.53125
1527518366.1214247,1300,0.421875
1527518581.8114116,1400,0.515625
1527518796.3108075,1500,0.625
1527519009.8572712,1600,0.484375
1527519232.4047174,1700,0.40625
1527519490.0629313,1800,0.421875
1527519725.4489768,1900,0.359375
1527519967.6352024,2000,0.484375
1527520197.4125555,2100,0.515625
1527520433.970496,2200,0.453125
1527520659.4964051,2300,0.5
1527520890.2197165,2400,0.546875
1527521122.2912514,2500,0.53125
1527521360.8888865,2600,0.515625
1527521597.7083585,2700,0.578125
1527521831.5525913,2800,0.53125
1527522059.6478915,2900,0.5625
1527522280.3877547,3000,0.5
1527522499.2222464,3100,0.578125
1527522724.4462645,3200,0.5
1527522943.3468006,3300,0.4375
1527523158.8604715,3400,0.609375
1527523373.1689303,3500,0.484375
1527523589.3813143,3600,0.5625
1527523809.219529,3700,0.484375
1527524022.2263908,3800,0.484375
1527524233.6355562,3900,0.515625
1527524437.9290574,4000,0.453125
1527524647.616094,4100,0.421875
1527524853.3880916,4200,0.484375
1527525056.0459046,4300,0.546875
1527525258.389158,4400,0.515625
1527525461.6028152,4500,0.5625
1527525664.8368578,4600,0.484375
1527525863.329103,4700,0.46875
1527526060.5371273,4800,0.625
1527526254.1922371,4900,0.53125
1527526450.918774,5000,0.546875
1527526644.8598726,5100,0.4375
1527526836.9329996,5200,0.546875
1527527030.2268076,5300,0.484375
1527527222.9576774,5400,0.578125
1527527407.9206724,5500,0.5
1527527591.3973138,5600,0.5625
1527527773.0075183,5700,0.53125
1527527955.5106218,5800,0.59375
1527528137.753086,5900,0.5
1527528322.7723234,6000,0.578125
1527528518.206618,6100,0.5
1527528724.883765,6200,0.546875
1527528923.8938038,6300,0.53125
1527529115.9116023,6400,0.625
1527529309.3048077,6500,0.4375
1527529498.5443468,6600,0.5625
1527529685.388084,6700,0.484375
1527529881.1414928,6800,0.625
1527530084.798768,6900,0.5625
1527530288.162855,7000,0.546875
1527530486.07389,7100,0.484375
1527530679.7585068,7200,0.578125
1527530867.2996116,7300,0.515625
1527531058.9809115,7400,0.46875
1527531249.5230632,7500,0.546875
1527531441.0432131,7600,0.625
1527531637.199103,7700,0.609375
1527531829.8725867,7800,0.53125
1527532019.6307518,7900,0.640625
1527532216.6355717,8000,0.453125
1527532401.975201,8100,0.734375
1527532590.0131936,8200,0.578125
1527532779.2917988,8300,0.53125
1527532969.3636663,8400,0.59375
1527533156.8695493,8500,0.515625
1527533339.8820367,8600,0.578125
1527533522.381883,8700,0.703125
1527533705.3324957,8800,0.640625
1527533885.330993,8900,0.625
1527534061.8763294,9000,0.578125
1527534238.8561199,9100,0.53125
1527534419.1629853,9200,0.53125
1527534595.5911863,9300,0.703125
1527534768.4000044,9400,0.53125
1527534941.825253,9500,0.625
1527535117.3897274,9600,0.59375
1527535294.208982,9700,0.515625
1527535469.236318,9800,0.6875
1527535644.3256576,9900,0.65625
1527535822.1314418,10000,0.65625
1527536009.1493301,10100,0.59375
1527536193.7238781,10200,0.59375
1527536366.07426,10300,0.671875
1527536543.7231138,10400,0.546875
1527536714.6624317,10500,0.734375
1527536896.1839108,10600,0.515625
1527537074.1130424,10700,0.546875
1527537251.6139107,10800,0.625
1527537433.3374352,10900,0.59375
1527537612.0079205,11000,0.671875
1527537797.0255353,11100,0.5625
1527537973.5290308,11200,0.578125
1527538155.9977887,11300,0.65625
1527538342.8854008,11400,0.5
1527538529.029727,11500,0.59375
1527538715.1295946,11600,0.640625
1527538899.9731293,11700,0.640625
1527539090.3492336,11800,0.65625
1527539275.9668648,11900,0.65625
1527539461.8436654,12000,0.59375
1527539650.3884847,12100,0.53125
1527539836.8637416,12200,0.609375
1527540019.2218893,12300,0.625
1527540203.541186,12400,0.78125
1527540385.539277,12500,0.640625
1527540570.768624,12600,0.609375
1527540751.458464,12700,0.609375
1527540929.1841505,12800,0.578125
1527541106.9935353,12900,0.6875
1527541287.3864255,13000,0.5625
1527541473.5071971,13100,0.578125
1527541649.014715,13200,0.71875
1527541830.586414,13300,0.6875
1527542015.988977,13400,0.625
1527542198.9543226,13500,0.625
1527542377.566248,13600,0.671875
1527542558.4576943,13700,0.6875
1527542737.4991004,13800,0.75
1527542915.9850788,13900,0.546875
1527543093.8833318,14000,0.65625
1527543271.6396196,14100,0.578125
1527543446.8289719,14200,0.640625
1527543619.7553897,14300,0.640625
1527543795.7051098,14400,0.5625
1527543972.1860585,14500,0.59375
1527544150.5407362,14600,0.6875
1527544324.6536393,14700,0.625
1527544509.4807286,14800,0.6875
1527544685.8738065,14900,0.6875
1527544859.8515096,15000,0.546875
1527545040.155963,15100,0.78125
1527545216.8866835,15200,0.578125
1527545389.4495761,15300,0.71875
1527545565.321746,15400,0.65625
1527545743.647903,15500,0.671875
1527545919.0098705,15600,0.53125
1527546099.2595074,15700,0.65625
1527546274.1080616,15800,0.640625
1527546447.6867714,15900,0.6875
1527546618.1997118,16000,0.59375
1527546791.322565,16100,0.609375
1527546965.7913527,16200,0.578125
1527547139.292279,16300,0.6875
1527547313.9957056,16400,0.5625
1527547490.1014254,16500,0.71875
1527547661.7309887,16600,0.65625
1527547835.7118003,16700,0.59375
1527548010.8141592,16800,0.640625
1527548180.9882176,16900,0.5625
1527548350.7111135,17000,0.703125
1527548520.432868,17100,0.71875
1527548689.6405778,17200,0.609375
1527548866.074684,17300,0.640625
1527549039.9026625,17400,0.640625
1527549211.085999,17500,0.6875
1527549385.066403,17600,0.671875
1527549559.3949556,17700,0.625
1527549736.8821952,17800,0.65625
1527549914.0837724,17900,0.625
1527550086.9975684,18000,0.671875
1527550255.6733828,18100,0.65625
1527550433.5927422,18200,0.640625
1527550619.4326777,18300,0.609375
1527550810.241651,18400,0.71875
1527551016.713819,18500,0.609375
1527551220.6349716,18600,0.578125
1527551419.1344848,18700,0.6875
1527551618.192363,18800,0.65625
1527551814.775013,18900,0.671875
1527552003.9090712,19000,0.75
1527552198.623265,19100,0.609375
1527552395.036447,19200,0.71875
1527552583.7942493,19300,0.71875
1527552772.663664,19400,0.65625
1527552962.4235075,19500,0.625
1527553152.9084604,19600,0.671875
1527553345.1170099,19700,0.640625
1527553528.3121142,19800,0.640625
1527553710.4632277,19900,0.640625
1527553889.4571626,20000,0.65625
1527554070.497472,20100,0.71875
1527554254.233127,20200,0.5625
1527554456.8661942,20300,0.671875
1527554682.8008885,20400,0.640625
1527554903.5107362,20500,0.71875
1527555122.1987507,20600,0.65625
1527555338.1284382,20700,0.640625
1527555554.2324026,20800,0.609375
1527555771.1022875,20900,0.640625
1527555988.1079144,21000,0.703125
1527556203.686462,21100,0.609375
1527556424.4353776,21200,0.65625
1527556639.0103765,21300,0.671875
1527556851.0318518,21400,0.703125
1527557058.9617126,21500,0.78125
1527557265.7245922,21600,0.6875
1527557474.8075337,21700,0.578125
1527557681.3449428,21800,0.671875
1527557893.0117178,21900,0.65625
1527558097.3849509,22000,0.609375
1527558303.4360702,22100,0.671875
1527558501.8520024,22200,0.625
1527558699.7752411,22300,0.640625
1527558896.8331354,22400,0.625
